Time,cell-1,cell-2,cell-3,cell-4,cell-5,cell-6,cell-7,cell-8,cell-9,cell-10,cell-11,cell-12
0,0.690575,0.7712867,0.6419768,0.7129364,0.6907997,0.6945156,0.7552003,0.8155536,0.678012,0.5901899,0.6648378,0.6554475
2,0.6927613,0.777539,0.6304104,0.7070919,0.6862905,0.6887361,0.7608882,0.8200119,0.6507565,0.5801987,0.6436274,0.6488855
4,0.6903122,0.7637621,0.6329958,0.7021374,0.6862492,0.6984159,0.7689157,0.8131161,0.6662749,0.5790694,0.6411879,0.6481088
6,0.6495826,0.7657181,0.6327962,0.6940571,0.675862,0.6778964,0.7364838,0.8177142,0.668248,0.5747268,0.6389547,0.6395813
8,0.6826769,0.7418116,0.6269465,0.692236,0.6702752,0.6791005,0.7375311,0.8126357,0.6581175,0.5716396,0.6363773,0.6381269
10,0.6730855,0.7439602,0.6266464,0.6936882,0.6758974,0.678843,0.741981,0.8157328,0.6640658,0.5743759,0.6377363,0.6387445
12,0.6832842,0.764734,0.6231157,0.6933723,0.6721024,0.6793856,0.7392377,0.8129422,0.6580093,0.5731295,0.6367301,0.6394422
14,0.680155,0.7585751,0.6230312,0.6940081,0.6746343,0.6764228,0.7414956,0.8074836,0.6549184,0.5695343,0.63583,0.6349275
16,0.6772369,0.758302,0.6254841,0.6951234,0.6750088,0.6850284,0.7480728,0.8121221,0.6569067,0.5689114,0.6345915,0.6366007
18,0.6767522,0.7595171,0.6221592,0.6922216,0.6711476,0.6771174,0.7404698,0.8129629,0.6592144,0.5651513,0.6340966,0.6348265
20,0.6745279,0.7566794,0.6236967,0.6931439,0.6724354,0.6889412,0.7457888,0.8110886,0.6580748,0.5680552,0.6342813,0.6342319
22,0.6711643,0.75479,0.6247718,0.6953734,0.6766504,0.6778271,0.7397825,0.8138985,0.6579692,0.5692883,0.6329445,0.640677
24,0.679616,0.7619421,0.6226387,0.6928951,0.6730373,0.6795793,0.7459568,0.8115784,0.6557109,0.5720665,0.6369497,0.6421387
26,0.6743037,0.7591677,0.6261858,0.6937922,0.6728938,0.6818348,0.7430435,0.8108442,0.6565951,0.5735822,0.6397236,0.6457923
28,0.6702362,0.7602997,0.625692,0.6935414,0.6698915,0.6783973,0.7411984,0.8096402,0.6559783,0.5717508,0.6366675,0.6415861
30,0.6660641,0.7532247,0.6239132,0.691806,0.6730536,0.6725668,0.7148045,0.8131601,0.6614913,0.5729809,0.6392633,0.6450362
32,0.6702495,0.765366,0.6273026,0.6908084,0.6739558,0.6756254,0.750943,0.8102702,0.6516503,0.5712599,0.6344798,0.6398446
34,0.6692957,0.7582719,0.6211504,0.6878459,0.6671087,0.6714169,0.7392563,0.8086443,0.6563777,0.5717604,0.6398402,0.6419332
36,0.6671401,0.7592971,0.6260246,0.6873162,0.6705547,0.6701264,0.7429212,0.8074839,0.6523716,0.5743398,0.6395645,0.6438596
38,0.6722153,0.7636634,0.6187277,0.6920167,0.6713664,0.6700939,0.7459111,0.8110103,0.6558033,0.5769457,0.6414179,0.6484141
40,0.6670756,0.760431,0.6186101,0.6897801,0.6684079,0.6745818,0.7444032,0.8117902,0.6589903,0.572391,0.6394932,0.6416141
42,0.6673751,0.7605526,0.6194225,0.6921455,0.6694571,0.6725594,0.7446364,0.8100665,0.6577442,0.5717383,0.6367164,0.6401131
44,0.6736002,0.7638866,0.6230611,0.69156,0.6720146,0.6748692,0.7423277,0.8076423,0.6531781,0.5755753,0.6398295,0.6461521
46,0.6639975,0.753895,0.6389883,0.6911537,0.6676291,0.6743714,0.7423705,0.8089542,0.6576681,0.5718781,0.6342174,0.6395882