xx,Cell-1,Cell-2,Cell-3,Cell-4,Cell-5,Cell-6,Cell-7,Cell-8,Cell-9,Cell-10,Cell-11,Cell-12,Cell-13,Cell-14,Cell-15,Cell-16,Cell-17,Cell-18,Cell-19
0,1.003517,1.001549,0.9810209,0.986904,1.004199,1.004937,1.0042,1.001421,1.000108,1.000748,1.001506,1.005785,1.011188,1.014723,1.008939,1.003241,1.006872,1.001929,1.000866
0.1666667,0.9991689,0.9961631,0.9801265,0.9891608,0.9989283,0.9892894,0.9903881,0.9975485,0.9937496,0.995352,0.9962637,0.9972004,0.9894263,1.004496,1.002604,0.9978889,0.9970717,0.9993551,0.9980562
0.3333333,1.001345,1.004644,1.010602,1.012491,0.9953477,1.010482,1.014011,1.001674,1.00035,1.003132,1.001552,0.9942397,0.9921575,1.007361,1.002989,1.000964,0.9984493,0.9968905,0.996683
0.5,1.001579,1.004318,1.010689,1.006681,1.002702,1.003176,1.0016,1.000072,1.003508,1.000595,1.001776,1.003522,1.010215,0.9910634,0.994302,0.9942904,0.9932356,1.005905,1.004311
0.6666667,0.9943522,0.9933341,1.016822,1.004554,0.9988462,0.9921757,0.9898673,0.9993021,1.002301,1.000192,0.9989264,0.999366,0.9974161,0.9829283,0.9912844,1.003713,1.004556,0.9959676,1.000094
0.8333333,1.004624,1.007178,1.014021,1.004258,0.9920673,1.008146,1.00757,0.9985681,1.00138,1.001741,0.9989417,1.002809,1.007035,0.9790479,0.9861535,1.00596,1.00653,1.007057,1.004947
1,1.000443,1.002458,1.027202,1.008615,0.9893247,1.009174,1.011224,1.000363,1.004435,1.003669,0.998541,0.9999263,1.001225,0.9800358,0.9840785,1.003667,1.005808,0.9987986,0.9978497
1.166667,0.9968996,0.9960636,1.016901,1.005091,0.9899809,0.9912574,0.9950281,1.003729,1.006275,1.005965,1.001087,1.005946,1.007878,0.9917637,0.9964815,1.002034,1.003388,0.9949598,0.9930686
1.333333,1.010229,1.005313,1.027051,1.013834,0.9875027,1.014395,1.015013,1.002943,1.002466,1.005503,0.999691,1.011135,1.016964,0.9874356,0.9934517,1.003389,1.005391,1.007319,1.004798
1.5,1.005364,0.9971062,1.019896,1.013544,0.9872078,1.005697,1.008506,1.004742,1.007852,1.010009,1.004767,1.000128,0.9932653,0.9907459,0.9950312,0.996653,1.001842,0.9909142,0.9943924
1.666667,1.003382,0.9903576,1.023727,1.014274,0.9976116,1.016678,1.00654,0.9983382,0.9996123,1.004652,0.9992133,1.01023,1.00894,0.9929791,0.9978522,0.995156,1.002768,1.011326,1.009424
1.833333,1.0102,0.9981672,1.015757,1.014384,0.9943925,1.016697,1.010144,0.9987314,0.9992303,1.004805,0.999886,1.005417,1.003481,0.9936553,0.9996405,1.003302,1.006971,1.016843,1.009595
2,1.010517,0.9940639,1.061331,1.052581,0.9989334,1.069849,1.078897,1.015138,1.019576,1.020904,1.013372,1.014327,1.026766,1.034135,1.027137,0.9999792,1.003706,1.037629,1.034043
2.166667,1.071965,1.05218,1.169031,1.153867,1.024297,1.119524,1.129541,1.073687,1.070687,1.071681,1.040544,1.057266,1.114249,1.112273,1.08802,1.009683,1.014391,1.066922,1.062937
2.333333,1.131878,1.108258,1.176923,1.197352,1.041851,1.150723,1.139203,1.104553,1.081407,1.10283,1.048964,1.072204,1.136723,1.136349,1.108829,1.012091,1.015534,1.067787,1.067833
2.5,1.154203,1.127899,1.158042,1.18563,1.030048,1.161533,1.149471,1.102548,1.075843,1.102509,1.049942,1.066595,1.14192,1.142235,1.118407,1.01384,1.022438,1.064194,1.057865
2.666667,1.191653,1.167981,1.133008,1.170894,1.019376,1.147546,1.14169,1.098158,1.070334,1.095298,1.040685,1.046963,1.113705,1.135846,1.121253,1.023433,1.037203,1.044876,1.034922
2.833333,1.1963,1.176143,1.089268,1.128782,1.000059,1.132376,1.125881,1.080183,1.05071,1.082234,1.025953,1.034807,1.113164,1.108033,1.10534,1.034367,1.060696,1.041212,1.028238
3,1.214383,1.198892,1.085522,1.118325,0.9918364,1.11126,1.108454,1.068026,1.033601,1.068696,1.009268,1.02357,1.114279,1.111103,1.111424,1.058126,1.079324,1.027142,1.010683
3.166667,1.236062,1.226358,1.074406,1.109018,0.9879398,1.101203,1.093371,1.060668,1.028402,1.064736,1.000532,1.020465,1.104354,1.109565,1.11548,1.047686,1.069274,1.011205,0.9962031
3.333333,1.25193,1.245035,1.059631,1.099581,0.9818735,1.090687,1.07725,1.071339,1.031457,1.074442,1.002513,1.009561,1.08335,1.10018,1.115719,1.040278,1.059618,1.011041,0.9982739
3.5,1.266294,1.261338,1.045832,1.089467,0.9817998,1.037673,1.023139,1.07729,1.036373,1.080841,1.007535,1.008203,1.07753,1.107061,1.134287,1.034726,1.048515,1.002907,1.000421
3.666667,1.2762,1.268965,1.040712,1.07257,0.9898524,1.039673,1.02888,1.089851,1.045019,1.086166,1.017716,0.9995766,1.055141,1.114163,1.144823,1.027079,1.042169,0.9973862,1.00569
3.833333,1.287362,1.282849,1.047905,1.086004,1.000385,1.03141,1.006011,1.095518,1.048235,1.087612,1.027116,0.9916965,1.04163,1.128539,1.15918,1.033196,1.044742,0.9897037,1.004269
4,1.297668,1.296211,1.045357,1.083229,1.003846,1.008377,0.9874858,1.111735,1.065364,1.099373,1.046958,0.9885249,1.030984,1.139396,1.163398,1.032091,1.042927,0.9881197,1.010007
4.166667,1.300667,1.294537,1.044042,1.07917,1.014827,0.9934927,0.9777901,1.119804,1.066384,1.099683,1.053437,0.988606,1.028319,1.138944,1.162916,1.033178,1.04327,0.9947624,1.018186
4.333334,1.290789,1.278446,1.048153,1.079533,1.027962,0.9952123,0.9813895,1.118731,1.06474,1.094807,1.053991,0.9891913,1.025432,1.134588,1.159031,1.033286,1.045162,0.9995714,1.023012
4.5,1.290077,1.267904,1.048955,1.07348,1.039193,0.9864271,0.9771656,1.121074,1.071196,1.096187,1.057826,0.9983071,1.040496,1.140736,1.160103,1.045068,1.048514,1.000532,1.025026
4.666667,1.286375,1.255123,1.052843,1.07238,1.043173,0.9996073,0.9890109,1.125562,1.073375,1.095545,1.058849,0.9909235,1.026939,1.136992,1.147777,1.059224,1.060566,1.006307,1.028002
4.833334,1.280827,1.24184,1.069537,1.088353,1.038783,1.005401,0.9962947,1.115411,1.065648,1.089215,1.054114,0.9934142,1.018529,1.134184,1.137607,1.06501,1.07332,1.012844,1.042391
5,1.252595,1.21552,1.055352,1.075766,1.048221,1.005088,0.9955457,1.113556,1.067865,1.088405,1.056359,0.9921352,1.022911,1.122094,1.122251,1.058267,1.06506,0.9977744,1.026823
5.166667,1.256551,1.208961,1.044764,1.066366,1.043226,1.012315,1.002587,1.109008,1.061525,1.084382,1.056158,0.992967,1.023772,1.110384,1.110892,1.061532,1.066901,1.00783,1.041307
5.333334,1.241427,1.186305,1.052716,1.074873,1.044446,1.018515,1.011931,1.106619,1.060159,1.082803,1.057298,0.9942074,1.02352,1.099404,1.095434,1.055355,1.058423,1.001436,1.03462
5.5,1.241923,1.182182,1.052357,1.07922,1.046257,1.007479,0.999348,1.09298,1.045915,1.076195,1.048874,0.9940481,1.025277,1.078354,1.074875,1.070885,1.071373,1.010578,1.046683
5.666667,1.229193,1.172931,1.039305,1.08226,1.049418,1.001307,0.995791,1.092384,1.048765,1.077363,1.053233,0.9942018,1.026161,1.067077,1.067711,1.067197,1.065473,1.010921,1.046689
5.833334,1.207258,1.148399,1.023427,1.068731,1.046781,0.9931346,0.9904429,1.080171,1.03513,1.071498,1.047039,0.9932926,1.018325,1.04906,1.048886,1.068789,1.06585,1.006282,1.039429
6,1.197422,1.132802,1.04082,1.07995,1.040351,0.9947036,0.9914044,1.086568,1.041812,1.069439,1.050427,0.9901616,1.009138,1.040469,1.042291,1.072398,1.068368,1.008057,1.042772
6.166667,1.180837,1.120413,1.029448,1.072166,1.03736,0.9941696,0.9881342,1.068981,1.025692,1.06135,1.039274,0.9922932,1.014145,1.030615,1.039448,1.066535,1.068912,1.002777,1.041907
6.333334,1.169445,1.114883,1.019487,1.065051,1.035953,1.008306,1.001676,1.068281,1.02844,1.062128,1.040822,0.991212,1.008507,1.023351,1.034683,1.065855,1.075791,1.013046,1.048341
6.5,1.160868,1.108739,1.021847,1.066208,1.03729,0.9987996,0.9863641,1.066927,1.027852,1.056347,1.036135,0.9864355,1.004712,1.025423,1.036783,1.055787,1.056814,1.015615,1.050236
6.666667,1.142305,1.099636,1.012966,1.048126,1.038081,1.012234,0.9999998,1.064134,1.025255,1.054538,1.033476,0.9950754,1.020126,1.022075,1.036738,1.054265,1.057196,1.028042,1.056671
6.833334,1.130332,1.089056,1.01342,1.051973,1.035516,1.002124,0.9921337,1.068472,1.032173,1.061464,1.033813,0.9853891,1.005935,1.023361,1.042633,1.058143,1.055754,1.018732,1.052938
7,1.126156,1.08726,1.01012,1.051623,1.040919,0.9883848,0.9770142,1.066859,1.030873,1.055935,1.031896,0.9884154,1.0132,1.017306,1.03675,1.063335,1.055844,1.024119,1.06476
7.166667,1.110123,1.075778,1.012652,1.047079,1.036327,1.01285,0.9995509,1.064337,1.024606,1.053119,1.026563,0.9875685,1.018229,1.023647,1.043608,1.06441,1.052961,1.016602,1.050412
7.333334,1.106088,1.07121,1.010117,1.039315,1.029818,1.003776,0.9883764,1.061378,1.029782,1.056587,1.02998,0.9883872,1.022473,1.032639,1.04925,1.053747,1.045093,1.01577,1.047844
7.5,1.102681,1.071347,0.9906253,1.026339,1.02904,0.9972451,0.984679,1.065305,1.030363,1.0606,1.034953,0.9846198,1.012251,1.029995,1.05258,1.044373,1.046213,1.015435,1.051734
7.666667,1.100049,1.071351,1.005715,1.04146,1.03611,1.015904,0.9998151,1.050069,1.021064,1.046862,1.023669,0.9846974,1.011973,1.031534,1.056768,1.043538,1.054393,1.018445,1.050488
7.833334,1.095144,1.069092,0.9988315,1.038807,1.037708,1.017164,0.9933459,1.050366,1.022231,1.053464,1.026622,0.9847909,1.010418,1.027308,1.058151,1.040307,1.056546,1.018931,1.04919
8,1.0801,1.061891,0.999813,1.034778,1.037118,1.015389,0.9929683,1.062284,1.035948,1.058214,1.033649,0.9789715,0.9993532,1.035282,1.062698,1.043201,1.058229,1.01809,1.046551
8.166667,1.076794,1.062466,1.002039,1.038654,1.04237,1.008921,0.9816393,1.049897,1.0251,1.051532,1.024937,0.9811237,0.997826,1.040508,1.069109,1.040359,1.056349,1.011914,1.040575
8.333333,1.078689,1.064645,0.9958383,1.030406,1.041435,1.003903,0.9747859,1.049088,1.024159,1.048899,1.022342,0.9777964,0.9993376,1.043623,1.077277,1.041269,1.053192,1.022898,1.059055
8.5,1.070274,1.056156,0.9947128,1.038184,1.034636,1.002752,0.9793097,1.045043,1.018265,1.045271,1.018172,0.9763754,0.9934787,1.038742,1.070375,1.047281,1.056944,1.017223,1.048639
8.666667,1.064395,1.049858,0.9864715,1.033809,1.02869,1.000532,0.9746791,1.051301,1.022758,1.049673,1.022594,0.9720191,0.9923983,1.032914,1.072254,1.048513,1.052123,1.011007,1.044823
8.833333,1.061506,1.045906,0.9952988,1.036521,1.0246,1.006393,0.9785488,1.044855,1.018438,1.048124,1.018899,0.9790976,1.002233,1.033378,1.079092,1.039596,1.042629,1.011259,1.041166
9,1.062833,1.043213,0.9871339,1.023386,1.023884,1.005662,0.9813604,1.041685,1.017992,1.042995,1.017207,0.9755322,0.9940576,1.036913,1.083217,1.048665,1.050293,1.018498,1.046746
9.166667,1.07123,1.049086,1.009756,1.043353,1.022987,1.014292,0.9869462,1.043578,1.015004,1.048063,1.021223,0.9693741,0.9948511,1.037118,1.08849,1.039449,1.04582,1.006944,1.03319
9.333333,1.071947,1.050883,0.9976441,1.027499,1.016708,0.9819578,0.9606347,1.037415,1.01041,1.040656,1.016805,0.9712551,0.9866572,1.028248,1.081542,1.030303,1.037624,1.003278,1.025236
9.5,1.074201,1.050945,0.9976797,1.025601,1.029879,0.9907578,0.9626562,1.034403,1.010178,1.043349,1.016033,0.972518,0.9924256,1.040335,1.092607,1.039272,1.040783,1.01359,1.041663
9.666667,1.071108,1.052319,0.98891,1.020596,1.021478,1.002815,0.975695,1.036899,1.008099,1.043678,1.016811,0.9657441,0.9835647,1.034287,1.089048,1.037806,1.035481,1.011719,1.035884
9.833333,1.080586,1.061058,0.9711913,1.009913,1.024895,1.007524,0.9863348,1.03515,1.005477,1.040106,1.013956,0.9701488,0.9909923,1.035546,1.091829,1.039477,1.036981,0.9997716,1.024955
10,1.076343,1.056756,0.9879467,1.025219,1.026673,1.007148,0.9853424,1.031561,0.9992422,1.03641,1.011082,0.9627835,0.9811584,1.033909,1.094858,1.033942,1.029,1.001575,1.026505