Wavelength (nm),Abs mTurquoise2,Em mTurquoise2,Abs SYFP2,Em SYFP2
250,0.50545,,,
251,0.49673,,,
252,0.49673,,,
253,0.49673,,,
254,0.4902,,,
255,0.48584,,,
256,0.4902,,,
257,0.50545,,,
258,0.53377,,,
259,0.55338,,,
260,0.56427,,0.4193548,
261,0.57734,,0.4193548,
262,0.59041,,0.4258065,
263,0.60566,,0.4322581,
264,0.63834,,0.4387097,
265,0.66231,,0.4451613,
266,0.6732,,0.4516129,
267,0.69281,,0.4580645,
268,0.72331,,0.4645161,
269,0.74946,,0.4709677,
270,0.77342,,0.4774194,
271,0.80174,,0.4903226,
272,0.83224,,0.4967742,
273,0.86275,,0.5032258,
274,0.89325,,0.5096774,
275,0.91939,,0.5225806,
276,0.94553,,0.5225806,
277,0.96078,,0.5290322,
278,0.96732,,0.5290322,
279,0.96514,,0.5290322,
280,0.96296,,0.5290322,
281,0.96078,,0.5225806,
282,0.94771,,0.5096774,
283,0.9281,,0.5032258,
284,0.90196,,0.483871,
285,0.86492,,0.4709677,
286,0.82135,,0.4516129,
287,0.76253,,0.4258065,
288,0.69281,,0.3935484,
289,0.61656,,0.3612903,
290,0.54466,,0.3290323,
291,0.49237,,0.3096774,
292,0.45752,,0.2967742,
293,0.42484,,0.2709678,
294,0.39434,,0.2516129,
295,0.36383,,0.2387097,
296,0.33551,,0.2193548,
297,0.31373,,0.2064516,
298,0.29194,,0.1935484,
299,0.27233,,0.1870968,
300,0.24837,,0.1806452,
301,0.22658,,0.1677419,
302,0.20479,,0.1612903,
303,0.18519,,0.1612903,
304,0.1634,,0.1483871,
305,0.14815,,0.1483871,
306,0.1329,,0.1354839,
307,0.12418,,0.1354839,
308,0.11329,,0.1290323,
309,0.10675,,0.1290323,
310,0.098039,,0.1225807,
311,0.093682,,0.1225807,
312,0.087146,,0.1225807,
313,0.082789,,0.116129,
314,0.08061,,0.116129,
315,0.076253,,0.116129,
316,0.074074,,0.1096774,
317,0.074074,,0.1096774,
318,0.069717,,0.1096774,
319,0.065359,,0.1096774,
320,0.065359,,0.1032258,
321,0.063181,,0.1032258,
322,0.058824,,0.1032258,
323,0.061002,,0.1032258,
324,0.058824,,0.09677419,
325,0.058824,,0.09677419,
326,0.056645,,0.09677419,
327,0.054466,,0.09677419,
328,0.054466,,0.09677419,
329,0.054466,,0.09032258,
330,0.052288,,0.09032258,
331,0.052288,,0.09032258,
332,0.052288,,0.09032258,
333,0.050109,,0.09032258,
334,0.050109,,0.09032258,
335,0.050109,,0.09032258,
336,0.050109,,0.08387097,
337,0.052288,,0.08387097,
338,0.050109,,0.08387097,
339,0.04793,,0.09032258,
340,0.04793,,0.08387097,
341,0.050109,,0.08387097,
342,0.04793,,0.08387097,
343,0.050109,,0.08387097,
344,0.04793,,0.08387097,
345,0.04793,,0.07741936,
346,0.052288,,0.07741936,
347,0.050109,,0.07741936,
348,0.052288,,0.07741936,
349,0.052288,,0.07096774,
350,0.054466,,0.07096774,
351,0.056645,,0.07096774,
352,0.054466,,0.07741936,
353,0.054466,,0.07096774,
354,0.056645,,0.07096774,
355,0.058824,,0.07096774,
356,0.058824,,0.07096774,
357,0.063181,,0.07096774,
358,0.063181,,0.06451613,
359,0.063181,,0.06451613,
360,0.063181,,0.06451613,
361,0.065359,,0.05806452,
362,0.067538,,0.06451613,
363,0.069717,,0.06451613,
364,0.071895,,0.05806452,
365,0.074074,,0.05806452,
366,0.076253,,0.05806452,
367,0.08061,,0.05806452,
368,0.082789,,0.05806452,
369,0.087146,,0.0516129,
370,0.091503,,0.0516129,
371,0.098039,,0.0516129,
372,0.1024,,0.0516129,
373,0.10893,,0.0516129,
374,0.11547,,0.04516129,
375,0.11983,,0.04516129,
376,0.12636,,0.04516129,
377,0.1329,,0.04516129,
378,0.14161,,0.04516129,
379,0.14815,,0.04516129,
380,0.15468,,0.04516129,
381,0.1634,,0.04516129,
382,0.17211,,0.04516129,
383,0.18301,,0.04516129,
384,0.1939,,0.04516129,
385,0.20261,,0.03870968,
386,0.21351,,0.03870968,
387,0.22004,,0.03870968,
388,0.23312,,0.03870968,
389,0.24837,,0.03870968,
390,0.25708,,0.03870968,
391,0.26797,,0.03870968,
392,0.28105,,0.03870968,
393,0.29412,,0.03870968,
394,0.30937,,0.03870968,
395,0.32026,,0.03870968,
396,0.33551,,0.03870968,
397,0.35076,,0.03870968,
398,0.36819,,0.03870968,
399,0.38562,,0.03870968,
400,0.40087,,0.03870968,
401,0.4183,,0.03870968,
402,0.43791,,0.03870968,
403,0.45752,,0.03870968,
404,0.47712,,0.03870968,
405,0.49673,,0.03870968,
406,0.51416,,0.03870968,
407,0.53377,,0.03870968,
408,0.5512,,0.03870968,
409,0.56645,,0.03870968,
410,0.58388,,0.03870968,
411,0.60131,,0.03870968,
412,0.61656,,0.03870968,
413,0.63399,,0.03870968,
414,0.64924,,0.03870968,
415,0.66013,,0.03870968,
416,0.67756,,0.03870968,
417,0.69499,,0.03870968,
418,0.7146,,0.03870968,
419,0.7342,,0.03870968,
420,0.75163,,0.03870968,
421,0.7756,,0.03870968,
422,0.79303,,0.03870968,
423,0.81481,,0.03870968,
424,0.83878,,0.03870968,
425,0.86057,,0.03870968,
426,0.88235,,0.03870968,
427,0.90632,,0.03870968,
428,0.92593,,0.03870968,
429,0.94553,,0.03870968,
430,0.96078,,0.03870968,
431,0.97386,,0.03870968,
432,0.98475,,0.03870968,
433,0.99129,,0.03870968,
434,0.99782,,0.03870968,
435,1,,0.03870968,
436,0.99346,,0.04516129,
437,0.98911,,0.04516129,
438,0.98257,,0.04516129,
439,0.97168,,0.04516129,
440,0.96296,0.0115,0.0516129,
441,0.95207,0.012,0.0516129,
442,0.94118,0.0133,0.0516129,
443,0.93246,0.0149,0.0516129,
444,0.92593,0.0164,0.05806452,
445,0.91939,0.019,0.05806452,
446,0.91503,0.0221,0.05806452,
447,0.91503,0.0258,0.06451613,
448,0.91503,0.0307,0.06451613,
449,0.91721,0.0369,0.07096774,
450,0.91939,0.0448,0.07096774,
451,0.92375,0.0548,0.07741936,
452,0.92593,0.068,0.07741936,
453,0.9281,0.0835,0.08387097,
454,0.93028,0.101,0.08387097,
455,0.9281,0.125,0.08387097,
456,0.92157,0.152,0.09032258,
457,0.91285,0.186,0.09677419,
458,0.8976,0.224,0.09677419,
459,0.87582,0.267,0.1032258,
460,0.84967,0.314,0.1032258,
461,0.81264,0.37,0.1096774,
462,0.77124,0.431,0.116129,
463,0.72549,0.496,0.1225807,
464,0.6732,0.56,0.1225807,
465,0.61656,0.629,0.1290323,
466,0.55773,0.696,0.1354839,
467,0.49891,0.76,0.1483871,
468,0.44227,0.819,0.1548387,
469,0.38562,0.869,0.1612903,
470,0.33333,0.914,0.1741936,
471,0.28322,0.95,0.1806452,
472,0.23747,0.974,0.1935484,
473,0.19826,0.993,0.2064516,
474,0.1634,0.999,0.2193548,
475,0.13508,1,0.2322581,
476,0.11111,0.993,0.2451613,
477,0.091503,0.977,0.2645161,
478,0.074074,0.957,0.2774194,
479,0.058824,0.938,0.2967742,
480,0.045752,0.915,0.3096774,
481,0.037037,0.889,0.3225806,
482,0.030501,0.864,0.3354839,
483,0.023965,0.841,0.3419355,
484,0.019608,0.817,0.3483871,
485,0.015251,0.796,0.3548387,
486,0.013072,0.776,0.3612903,
487,0.0087146,0.76,0.3677419,
488,0.0065359,0.749,0.3741936,
489,0.0065359,0.741,0.3741936,
490,0.0065359,0.738,0.3806452,0.003
491,0.0043573,0.737,0.3806452,0.003
492,0.0021786,0.739,0.3870968,0.003
493,0,0.745,0.3935484,0.004
494,0.0021786,0.751,0.4,0.004
495,0,0.758,0.4129032,0.005
496,0.0021786,0.768,0.4258065,0.006
497,0,0.775,0.4387097,0.007
498,0,0.78,0.4516129,0.009
499,-0.0021786,0.787,0.4709677,0.01
500,-0.0021786,0.792,0.4903226,0.013
501,-0.0021786,0.792,0.516129,0.016
502,-0.0021786,0.795,0.5419355,0.019
503,-0.0021786,0.792,0.5677419,0.024
504,-0.0021786,0.786,0.6,0.031
505,0,0.779,0.6322581,0.038
506,-0.0021786,0.769,0.6709678,0.048
507,-0.0021786,0.752,0.716129,0.059
508,0,0.736,0.7612903,0.075
509,-0.0021786,0.72,0.8,0.093
510,-0.0021786,0.699,0.8451613,0.117
511,,0.68,0.8903226,0.143
512,,0.658,0.9290323,0.176
513,,0.637,0.9548387,0.214
514,,0.615,0.9806452,0.262
515,,0.594,0.9935484,0.311
516,,0.572,1,0.372
517,,0.553,0.9870968,0.43
518,,0.531,0.9612903,0.501
519,,0.511,0.9225807,0.569
520,,0.494,0.8709678,0.643
521,,0.476,0.8129032,0.71
522,,0.46,0.7419355,0.775
523,,0.443,0.6709678,0.835
524,,0.43,0.6,0.889
525,,0.417,0.5290322,0.929
526,,0.403,0.4580645,0.96
527,,0.391,0.3935484,0.984
528,,0.381,0.3354839,0.998
529,,0.371,0.2903226,1
530,,0.363,0.2451613,0.997
531,,0.354,0.2064516,0.984
532,,0.346,0.1677419,0.962
533,,0.338,0.1419355,0.938
534,,0.332,0.116129,0.911
535,,0.326,0.09677419,0.882
536,,0.318,0.08387097,0.846
537,,0.313,0.06451613,0.815
538,,0.306,0.05806452,0.78
539,,0.299,0.04516129,0.747
540,,0.294,0.03870968,0.712
541,,0.288,0.03225806,0.68
542,,0.28,0.02580645,0.649
543,,0.273,0.02580645,0.621
544,,0.267,0.01935484,0.592
545,,0.26,0.01935484,0.565
546,,0.253,0.01935484,0.542
547,,0.246,0.01290323,0.519
548,,0.238,0.01290323,0.496
549,,0.23,0.01290323,0.479
550,,0.224,0.01290323,0.461
551,,0.216,0.006451613,0.444
552,,0.208,0.006451613,0.431
553,,0.201,0.006451613,0.416
554,,0.193,0.006451613,0.404
555,,0.187,0.006451613,0.394
556,,0.18,0.006451613,0.383
557,,0.173,0.006451613,0.375
558,,0.166,0.006451613,0.367
559,,0.159,0.006451613,0.361
560,,0.153,0.006451613,0.353
561,,0.147,0.006451613,0.346
562,,0.141,0.006451613,0.34
563,,0.135,0.006451613,0.334
564,,0.131,0.006451613,0.328
565,,0.125,0.006451613,0.321
566,,0.122,0.006451613,0.315
567,,0.117,0.006451613,0.309
568,,0.113,0.006451613,0.302
569,,0.11,0.006451613,0.294
570,,0.106,0.006451613,0.287
571,,0.103,0.006451613,0.279
572,,0.0993,0.006451613,0.271
573,,0.0967,0.006451613,0.261
574,,0.0934,0.006451613,0.253
575,,0.091,0.006451613,0.244
576,,0.0883,0.006451613,0.235
577,,0.0854,0.006451613,0.228
578,,0.0832,0.006451613,0.218
579,,0.0809,0.006451613,0.212
580,,0.0791,0.006451613,0.203
581,,0.0768,0.006451613,0.194
582,,0.0747,0.006451613,0.188
583,,0.0728,0.006451613,0.179
584,,0.0705,0.006451613,0.171
585,,0.0683,0.006451613,0.165
586,,0.0668,0.006451613,0.157
587,,0.0647,0.006451613,0.151
588,,0.0629,0.006451613,0.144
589,,0.0615,0.006451613,0.139
590,,0.0599,0.006451613,0.133
591,,0.0578,0.006451613,0.128
592,,0.0557,0,0.122
593,,0.0542,0.006451613,0.117
594,,0.0527,0,0.111
595,,0.0511,0,0.108
596,,0.0501,0,0.103
597,,0.048,0,0.099
598,,0.0464,0.006451613,0.095
599,,0.045,0,0.092
600,,0.0434,0,0.088
601,,0.0416,0.006451613,0.085
602,,0.0407,0.006451613,0.082
603,,0.0388,0.006451613,0.08
604,,0.0376,0.006451613,0.076
605,,0.0361,0,0.074
606,,0.0348,0,0.072
607,,0.0338,0,0.069
608,,0.0328,0,0.067
609,,0.0319,0.006451613,0.066
610,,0.0304,0,0.063
611,,0.0291,0,0.061
612,,0.0283,0,0.059
613,,0.0275,0,0.058
614,,0.0265,0,0.056
615,,0.0258,0,0.054
616,,0.0247,0,0.053
617,,0.0244,0,0.052
618,,0.0232,0,0.05
619,,0.0227,0,0.048
620,,0.0221,0,0.046
621,,0.0215,0,0.046
622,,0.0206,0,0.044
623,,0.0201,0,0.043
624,,0.0193,0,0.042
625,,0.019,0,0.041
626,,0.0184,0,0.039
627,,0.0182,0,0.038
628,,0.0178,0,0.037
629,,0.0171,0,0.036
630,,0.0165,0,0.035
631,,0.016,0,0.034
632,,0.0158,0,0.033
633,,0.0156,0,0.032
634,,0.0151,0,0.031
635,,0.0147,0,0.03
636,,0.0144,0,0.029
637,,0.014,0,0.028
638,,0.0139,0,0.027
639,,0.0134,0,0.026
640,,0.0133,0,0.025
641,,0.0131,0,0.025
642,,0.0126,0,0.024
643,,0.0124,0,0.023
644,,0.0122,0,0.022
645,,0.0121,0,0.022
646,,0.0121,0,0.021
647,,0.0116,0,0.02
648,,0.0115,0,0.02
649,,0.011,0,0.019
650,,0.0108,0,0.018
,,,0,0.018
,,,0,0.017
,,,0,0.017
,,,0,0.016
,,,0,0.016
,,,0,0.015
,,,0,0.015
,,,0,0.014
,,,0,0.014
,,,0,0.014
,,,0,0.013
,,,0,0.013
,,,0,0.013
,,,0,0.012
,,,0,0.012
,,,0,0.012
,,,0,0.011
,,,0,0.011
,,,0,0.011
,,,0,0.011
,,,0,0.01
,,,0,0.01
,,,0,0.01
,,,0,0.01
,,,0,0.009
,,,0,0.009
,,,0,0.009
,,,0,0.009
,,,0,0.008
,,,0,0.009
,,,0,0.008
,,,0,0.008
,,,0,0.008
,,,0,0.008
,,,0,0.008
,,,0,0.008
,,,0,0.007
,,,0,0.007
,,,0,0.008
,,,0,0.007
,,,0,0.007
,,,0,0.007
,,,0,0.007
,,,0,0.006
,,,0,0.007
,,,0,0.006
,,,0,0.006
,,,0,0.006
,,,0,0.006
,,,0,0.006
,,,0,0
,,,0,0
,,,0,0
,,,0,0
,,,0,0
,,,0,0
,,,0,0
,,,0,0
,,,0,0
,,,0,0
,,,0,0
,,,0,0
,,,0,0
,,,0,0
,,,0,0
,,,0,0
,,,0,0
,,,0,0
,,,0,0
,,,0,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0